Epoch 16: duration loss = 0.676 | prior loss = 4.165 | diffusion loss = 0.215
Epoch 17: duration loss = 0.665 | prior loss = 3.931 | diffusion loss = 0.194
Epoch 18: duration loss = 0.667 | prior loss = 3.635 | diffusion loss = 0.184
Epoch 19: duration loss = 0.669 | prior loss = 3.318 | diffusion loss = 0.189
Epoch 20: duration loss = 0.664 | prior loss = 3.109 | diffusion loss = 0.192
Epoch 21: duration loss = 0.618 | prior loss = 2.947 | diffusion loss = 0.171
Epoch 22: duration loss = 0.584 | prior loss = 2.908 | diffusion loss = 0.205
Epoch 23: duration loss = 0.572 | prior loss = 2.650 | diffusion loss = 0.201
Epoch 24: duration loss = 0.480 | prior loss = 2.673 | diffusion loss = 0.156
Epoch 25: duration loss = 0.455 | prior loss = 2.618 | diffusion loss = 0.154
Epoch 26: duration loss = 0.522 | prior loss = 2.437 | diffusion loss = 0.152
Epoch 27: duration loss = 0.613 | prior loss = 2.349 | diffusion loss = 0.171
Epoch 28: duration loss = 0.632 | prior loss = 2.300 | diffusion loss = 0.154
Epoch 29: duration loss = 0.637 | prior loss = 2.186 | diffusion loss = 0.181
Epoch 30: duration loss = 0.628 | prior loss = 2.146 | diffusion loss = 0.165
Epoch 31: duration loss = 0.637 | prior loss = 2.049 | diffusion loss = 0.162
Epoch 32: duration loss = 0.668 | prior loss = 1.976 | diffusion loss = 0.171
Epoch 33: duration loss = 0.649 | prior loss = 1.969 | diffusion loss = 0.161
Epoch 34: duration loss = 0.616 | prior loss = 1.916 | diffusion loss = 0.160
Epoch 35: duration loss = 0.606 | prior loss = 1.876 | diffusion loss = 0.155
Epoch 36: duration loss = 0.625 | prior loss = 1.839 | diffusion loss = 0.182
Epoch 37: duration loss = 0.633 | prior loss = 1.795 | diffusion loss = 0.136
Epoch 38: duration loss = 0.636 | prior loss = 1.783 | diffusion loss = 0.163
Epoch 39: duration loss = 0.639 | prior loss = 1.753 | diffusion loss = 0.147
Epoch 40: duration loss = 0.649 | prior loss = 1.719 | diffusion loss = 0.168
Epoch 41: duration loss = 0.652 | prior loss = 1.709 | diffusion loss = 0.163
Epoch 42: duration loss = 0.675 | prior loss = 1.698 | diffusion loss = 0.187
Epoch 43: duration loss = 0.671 | prior loss = 1.677 | diffusion loss = 0.151
Epoch 44: duration loss = 0.672 | prior loss = 1.669 | diffusion loss = 0.154
Epoch 45: duration loss = 0.676 | prior loss = 1.656 | diffusion loss = 0.173
Epoch 46: duration loss = 0.670 | prior loss = 1.643 | diffusion loss = 0.170
Epoch 47: duration loss = 0.690 | prior loss = 1.635 | diffusion loss = 0.146
Epoch 48: duration loss = 0.670 | prior loss = 1.626 | diffusion loss = 0.151
Epoch 49: duration loss = 0.662 | prior loss = 1.620 | diffusion loss = 0.150
Epoch 50: duration loss = 0.679 | prior loss = 1.618 | diffusion loss = 0.171
Epoch 1: duration loss = 1.062 | prior loss = 1.912 | diffusion loss = 0.113
Epoch 2: duration loss = 0.774 | prior loss = 1.671 | diffusion loss = 0.125
Epoch 3: duration loss = 0.706 | prior loss = 1.596 | diffusion loss = 0.137
Epoch 4: duration loss = 0.675 | prior loss = 1.557 | diffusion loss = 0.119
Epoch 5: duration loss = 0.653 | prior loss = 1.521 | diffusion loss = 0.095
Epoch 6: duration loss = 0.637 | prior loss = 1.513 | diffusion loss = 0.133
Epoch 7: duration loss = 0.623 | prior loss = 1.486 | diffusion loss = 0.155
Epoch 8: duration loss = 0.612 | prior loss = 1.476 | diffusion loss = 0.104
